02.06.03.03 Hedleyite
02.06.04.01 Genkinite
02.06.04.02 Oulankaite
02.06.04.03 Ungavaite
02.06.05.01 Temagamite
02.06.06.01 Donharrisite
02.06.07.01 Saddlebackite
02.07.01.01 Pentlandite
02.07.01.02 Argentopentlandite
02.07.01.03 Cobaltpentlandite
02.07.01.04 Shadlunite
02.07.01.05 Manganoshadlunite
02.07.01.06 Geffroyite
02.07.02.01 Mackinawite
02.07.02.02 Sugakiite
02.07.03.01 Yarrowite
02.07.04.01 Godlevskite
02.07.05.01 Kharaelakhite
02.07.06.01 Tischendorfite
02.08.01.01 Galena
02.08.01.02 Clausthalite
02.08.01.03 Altaite
02.08.01.04 Alabandite
02.08.01.05 Oldhamite
02.08.01.06 Niningerite
02.08.01.07 Borovskite
02.08.01.08 Crerarite
02.08.01.09 Keilite
02.08.02.01 Sphalerite
02.08.02.02 Stilleite
02.08.02.03 Metacinnabar
02.08.02.04 Tiemannite
02.08.02.05 Coloradoite
02.08.02.06 Hawleyite
02.08.02.07 Rudashevskyite
02.08.03.01 Polhemusite
02.08.04.01 Xingzhongite
02.08.05.01 Cooperite
02.08.05.02 Vysotskite
02.08.05.03 Braggite
02.08.06.01 Polarite
02.08.07.01 Wurtzite
02.08.07.02 Greenockite
02.08.07.03 Cadmoselite
02.08.07.04 Rambergite
02.08.08.01 Hypercinnabar
02.08.09.01 Troilite
02.08.10.01 Pyrrhotite
02.08.10.02 Smythite
02.08.11.01 Nickeline
02.08.11.02 Breithauptite
02.08.11.03 Sederholmite
02.08.11.04 Hexatestibiopanickelite
02.08.11.05 Sudburyite
02.08.11.06 Kotulskite
02.08.11.07 Sobolevskite
02.08.11.08 Stumpflite
02.08.11.09 Langisite
02.08.11.10 Freboldite
02.08.11.11 Achavalite
02.08.11.12 Sorosite
02.08.11.13 Vavrinite
02.08.12.01 Covellite
02.08.12.02 Klockmannite
02.08.13.01 Vulcanite
02.08.14.01 Cinnabar
02.08.15.01 Matraite
02.08.16.01 Millerite
02.08.16.02 Makinenite
02.08.17.01 Ruthenarsenite
02.08.17.02 Cherepanovite
02.08.18.01 Modderite
02.08.19.01 Westerveldite
02.08.20.01 Tsumoite
02.08.20.02 Sulphotsumoite
02.08.20.03 Nevskite
02.08.20.04 Ingodite
02.08.20.05 Telluronevskite
02.08.21.01 Platynite
02.08.22.01 Realgar
02.08.22.02 Pararealgar
02.08.22.03 Uzonite
02.08.22.04 Alacranite
02.08.23.01 Herzenbergite
02.08.24.01 Empressite
02.08.25.01 Muthmannite
02.09.01.01 Chalcopyrite
02.09.01.02 Eskebornite
02.09.01.03 Gallite
02.09.01.04 Roquesite
02.09.01.05 Lenaite
02.09.01.06 Laforetite
02.09.02.01 Stannite
02.09.02.02 Cernyite
02.09.02.03 Briartite
02.09.02.04 Kuramite
02.09.02.05 Sakuraiite
02.09.02.06 Hocartite
02.09.02.07 Pirquitasite
02.09.02.08 Velikite
02.09.02.09 Kesterite
02.09.02.10 Ferrokesterite
02.09.02.11 Barquillite
02.09.03.01 Mawsonite
02.09.03.02 Chatkalite
02.09.03.03 Stannoidite
02.09.04.01 Renierite
02.09.04.02 Germanite
02.09.04.03 Maikainite
02.09.04.04 Ovamboite
02.09.05.01 Morozeviczite
02.09.05.02 Polkovicite
02.09.06.01 Hemusite
02.09.06.02 Kiddcreekite
02.09.07.01 Putoranite
02.09.08.01 Talnakhite
02.09.08.02 Haycockite
02.09.08.03 Mooihoekite
02.09.09.01 Raguinite
02.09.10.01 Teallite
02.09.11.01 Rasvumite
02.09.11.02 Pautovite
02.09.12.01 Sternbergite
02.09.12.02 Picotpaulite
02.09.13.01 Cubanite
02.09.13.02 Argentopyrite
02.09.13.03 Isocubanite
02.09.14.01 Idaite
02.09.14.02 Catamarcaite
02.09.15.01 Nukundamite
02.09.16.01 Mohite
02.09.17.01 Caswellsilverite
02.09.17.02 Schollhornite
02.09.17.03 Cronusite
02.09.18.01 Petrukite
02.09.19.01 Bartonite
02.09.19.02 Chlorbartonite
02.10.01.01 Linnaeite
02.10.01.02 Carrollite
02.10.01.03 Fletcherite
02.10.01.04 Tyrrellite
02.10.01.05 Bornhardtite
02.10.01.06 Siegenite
02.10.01.07 Polydymite
02.10.01.08 Violarite
02.10.01.09 Trustedtite
02.10.01.10 Greigite
02.10.01.11 Daubreelite
02.10.01.12 Indite
02.10.01.13 Kalininite
02.10.01.14 Florensovite
02.10.01.15 Cuproiridsite
02.10.01.16 Cuprorhodsite
02.10.01.17 Malanite
02.10.01.18 Ferrorhodsite
02.10.01.19 Cadmoindite
02.10.02.01 Wilkmanite
02.10.02.02 Brezinaite
02.10.02.03 Heideite
02.10.02.04 Kingstonite
02.10.03.01 Rhodostannite
02.10.03.02 Toyohaite
02.10.04.01 Konderite
02.10.04.02 Inaglyite
02.10.05.01 Tarkianite
02.11.01.01 Orpiment
02.11.01.02 Getchellite
02.11.02.01 Stibnite
02.11.02.02 Antimonselite
02.11.02.03 Bismuthinite
02.11.02.04 Guanajuatite
02.11.03.01 Metastibnite
02.11.04.01 Wakabayashilite
02.11.05.01 Paakkonenite
02.11.06.01 Laphamite
02.11.07.01 Tetradymite
02.11.07.02 Tellurobismuthite
02.11.07.03 Tellurantimony
02.11.07.04 Paraguanajuatite
02.11.07.05 Kawazulite
02.11.07.06 Skippenite
02.11.07.07 Vihorlatite
02.11.08.01 Montbrayite
02.11.09.01 Ottemannite
02.11.10.01 Nagyagite
02.11.11.01 Buckhornite
02.11.12.01 Bowieite
02.11.12.02 Kashinite
02.11.13.01 Edgarite
02.11.14.01 Museumite
02.12.01.01 Pyrite
02.12.01.02 Vaesite
02.12.01.03 Cattierite
02.12.01.04 Penroseite
02.12.01.05 Trogtalite
02.12.01.06 Villamaninite
02.12.01.07 Fukuchilite
02.12.01.08 Krutaite
02.12.01.09 Hauerite
02.12.01.10 Laurite
02.12.01.11 Aurostibite
02.12.01.12 Krutovite
02.12.01.13 Sperrylite
02.12.01.14 Geversite
02.12.01.15 Insizwaite
02.12.01.16 Erlichmanite
02.12.01.17 Dzharkenite
02.12.01.18 Gaotaiite
02.12.01.19 Mayingite
02.12.02.01 Marcasite
02.12.02.02 Ferroselite
02.12.02.03 Frohbergite
02.12.02.04 Hastite
02.12.02.05 Mattagamite
02.12.02.06 Kullerudite
02.12.02.07 Omeiite
02.12.02.08 Anduoite
02.12.02.09 Lollingite
02.12.02.10 Seinajokite
02.12.02.11 Safflorite
02.12.02.12 Rammelsbergite
02.12.02.13 Nisbite
02.12.03.01 Cobaltite
02.12.03.02 Gersdorffite
02.12.03.02 GersdorffiteP213
02.12.03.03 Ullmannite
02.12.03.04 Willyamite
02.12.03.05 Tolovkite
02.12.03.06 Platarsite
02.12.03.07 Irarsite
02.12.03.08 Hollingworthite
02.12.03.09 Jolliffeite
02.12.03.10 Padmaite
02.12.03.11 Michenerite
02.12.03.12 Maslovite
02.12.03.13 Testibiopalladite
02.12.03.14 Changchengite
02.12.03.15 Milotaite
02.12.03.16 Kalungaite
02.12.04.01 Arsenopyrite
02.12.04.02 Gudmundite
02.12.04.03 Osarsite
02.12.04.04 Ruarsite
02.12.04.05 Iridarsenite
02.12.04.06 Clinosafflorite
02.12.05.01 Pararammelsbergite
02.12.05.02 Paxite
02.12.06.01 Glaucodot
02.12.06.02 Alloclasite
02.12.07.01 Costibite
02.12.07.02 Paracostibite
02.12.07.03 Oenite
02.12.08.01 Lautite
02.12.09.01 Bambollaite
02.12.10.01 Molybdenite
02.12.10.02 Drysdallite
02.12.10.03 Tungstenite
02.12.11.01 Jordisite
02.12.12.01 Jeromite
02.12.13.01 Krennerite
02.12.13.02 Calaverite
02.12.13.03 Sylvanite
02.12.13.04 Kostovite
02.12.14.01 Melonite
02.12.14.02 Kitkaite
02.12.14.03 Moncheite
02.12.14.04 Merenskyite
02.12.14.05 Berndtite
02.12.14.06 Shuangfengite
02.12.14.07 Sudovikovite
02.12.15.01 Froodite
02.12.15.02 Urvantsevite
02.12.15.03 Verbeekite
02.12.16.01 Borishanskiite
02.12.17.01 Skutterudite
02.12.17.02 Nickelskutterudite
02.12.17.03 Kieftite
02.12.17.04 Ferroskutterudite
02.12.18.01 Rheniite
02.13.01.01 Kermesite
02.13.02.01 Sarabauite
02.13.03.01 Cetineite
02.13.03.02 Ottensite
02.13.04.01 Viaeneite
02.14.01.01 Valleriite
